Hour Minute Second RPM v1 RPM_ct wind_ct
19 14 54 0 3.60 0 26
19 14 57 0 4.07 0 24
19 15 0 0 3.76 0 26
19 15 3 0 4.07 0 23
19 15 6 0 3.60 0 22
19 15 9 0 3.45 0 22
19 15 12 0 3.45 0 23
19 15 15 0 3.60 0 23
19 15 18 0 3.60 0 19
19 15 21 0 2.98 0 22
19 15 24 0 3.45 0 24
19 15 27 0 3.76 0 21
19 15 30 0 3.29 0 20
19 15 33 0 3.13 0 25
19 15 36 0 3.92 0 25
19 15 39 0 3.92 0 22
19 15 42 0 3.45 0 24
19 15 45 0 3.76 0 25
19 15 48 0 3.92 0 26
19 15 51 0 4.07 0 24
19 15 54 0 3.76 0 27
19 15 57 0 4.23 0 25
19 16 0 0 3.92 0 21
19 16 3 0 3.29 0 17
19 16 6 0 2.66 0 20
19 16 9 0 3.13 0 24
19 16 12 0 3.76 0 26
19 16 15 0 4.07 0 34
19 16 18 0 5.33 0 32
19 16 21 0 5.01 0 31
19 16 24 0 4.86 0 30
19 16 27 0 4.70 0 29
19 16 30 0 4.54 0 36
19 16 33 0 5.64 0 35
19 16 36 0 5.48 0 33
19 16 39 0 5.17 0 27
19 16 42 0 4.23 0 28
19 16 45 0 4.39 0 27
19 16 48 0 4.23 0 27
19 16 51 0 4.23 0 26
19 16 54 0 4.07 0 35
19 16 57 0 5.48 0 34
19 17 0 0 5.33 0 29
19 17 3 0 4.54 0 27
19 17 6 0 4.23 0 27
19 17 9 0 4.23 0 30
19 17 12 0 4.70 0 31
19 17 15 0 4.86 0 30
19 17 18 0 4.70 0 24
19 17 21 0 3.76 0 21
19 17 24 0 3.29 0 29
19 17 27 0 4.54 0 34
19 17 30 0 5.33 0 27
19 17 33 0 4.23 0 30
19 17 36 0 4.70 0 28
19 17 39 0 4.39 0 34
19 17 42 0 5.33 0 32
19 17 45 0 5.01 0 36
19 17 48 0 5.64 0 35
19 17 51 0 5.48 0 35
19 17 54 0 5.48 0 30
19 17 57 0 4.70 0 27
19 18 0 0 4.23 0 26
19 18 3 0 4.07 0 28
19 18 6 0 4.39 0 24
19 18 9 0 3.76 0 29
19 18 12 0 4.54 0 28
19 18 15 0 4.39 0 27
19 18 18 0 4.23 0 25
19 18 21 0 3.92 0 27
19 18 24 0 4.23 0 23
